Issue,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Buildings,19155,21125,17339,14999,16257,19267,21014,20317,14712,17063,16883,14572,14451
Roads,29820,41469,21777,13539,13475,11606,13458,15239,6908,7475,11161,10549,9800
Drainage,16194,12708,9394,9904,12269,15940,20641,24267,15508,14006,17121,18752,15701
Solid Waste Management,6562,5519,7331,5213,7330,10144,14494,17116,11595,11056,12351,24690,25031
License,6595,6029,6393,7145,8523,10372,14203,14473,10148,10814,13439,13672,12275
Water Supply,6215,6075,7645,7728,7246,6959,12647,15507,11855,10981,13097,14752,14522
Pest control,3123,3495,5048,4364,6078,5529,6703,7501,10971,7785,8037,8328,8721
Garden,1269,1468,1595,1307,1658,1844,2936,3367,4522,3323,3529,3644,3293
Storm Water Drainage,939,895,1160,830,1386,1532,1548,2155,1409,1068,1550,2713,2304
Colony Officer,1057,1292,1023,881,1954,1245,1437,1196,1045,1305,981,1056,823
Nuisance due to vagrants,0,0,0,0,1856,2849,2653,2057,952,1383,1599,2533,3233
Medical Officer Health (MOH),86,152,155,549,956,1595,1743,1472,889,1087,1384,1652,1752
Shop and Establishment,608,347,423,401,561,1478,878,778,986,763,647,695,612
MCGM Related*,424,431,504,451,862,889,877,1103,760,647,735,759,765
Estate,274,249,216,112,560,407,588,623,645,538,661,553,949
Toilet,148,177,257,159,290,416,494,627,618,489,531,544,505
Pollution,159,117,135,135,220,215,286,269,220,424,292,760,586
School,54,22,25,56,74,42,58,78,31,43,70,72,73
