Ward,Year,Avg_No_of_Councillors,Total_Complaints,Per_Capita_Complaints,Avg_No_of_Days,Total_Deliberation,Per_Capita_Deliberation
A,2019,4,18900,5400,55,72,21
A,2020,4,19600,5600,52,76,22
A,2021,4,21244,6070,49,84,24
A,2022,4,20100,5745,47,89,25
A,2023,4,19200,5486,44,95,27
B,2019,3,23100,9240,47,80,32
B,2020,3,24200,9680,44,86,34
B,2021,3,25745,10298,42,92,37
B,2022,3,24900,9960,40,98,39
B,2023,3,23800,9520,38,105,42
C,2019,4,24200,6914,42,124,35
C,2020,4,25400,7257,40,132,38
C,2021,4,26797,7656,37,142,41
C,2022,4,26100,7457,35,150,43
C,2023,4,25200,7200,33,159,45
D,2019,7,37900,5830,38,225,35
D,2020,7,39600,6092,35,238,37
D,2021,7,41886,6444,32,253,39
D,2022,7,40800,6277,30,265,41
D,2023,7,39400,6062,28,278,43
E,2019,8,30200,4027,25,165,22
E,2020,8,31800,4240,22,176,23
E,2021,8,33889,4519,19,189,25
E,2022,8,33100,4413,18,198,26
E,2023,8,32000,4267,17,210,28
F/N,2019,10,28900,2890,24,291,29
F/N,2020,10,30400,3040,21,307,31
F/N,2021,10,32639,3264,19,323,32
F/N,2022,10,31800,3180,18,338,34
F/N,2023,10,30700,3070,17,354,35
F/S,2019,7,18200,2600,36,188,27
F/S,2020,7,19300,2757,33,199,28
F/S,2021,7,20464,2923,30,211,30
F/S,2022,7,20100,2871,28,221,32
F/S,2023,7,19400,2771,27,232,33
G/N,2019,11,42300,3845,68,244,22
G/N,2020,11,44500,4045,64,258,23
G/N,2021,11,46986,4271,60,273,25
G/N,2022,11,45800,4164,57,286,26
G/N,2023,11,44400,4036,54,300,27
G/S,2019,8,22800,2850,41,684,86
G/S,2020,8,24100,3013,38,720,90
G/S,2021,8,25562,3195,35,758,95
G/S,2022,8,25000,3125,33,792,99
G/S,2023,8,24200,3025,31,828,104
H/E,2019,11,27400,2609,33,391,37
H/E,2020,11,29000,2762,30,412,39
H/E,2021,11,30759,2929,27,435,41
H/E,2022,11,30100,2867,25,455,43
H/E,2023,11,29200,2781,24,477,45
H/W,2019,6,32200,5367,33,268,45
H/W,2020,6,33900,5650,30,282,47
H/W,2021,6,35995,5999,27,298,50
H/W,2022,6,35200,5867,26,312,52
H/W,2023,6,34100,5683,25,327,55
K/E,2019,15,59700,4000,42,472,32
K/E,2020,15,62900,4213,39,497,33
K/E,2021,15,66660,4474,36,524,35
K/E,2022,15,65200,4373,34,548,37
K/E,2023,15,63100,4233,32,574,38
K/W,2019,13,66100,5085,48,648,50
K/W,2020,13,69500,5346,45,683,53
K/W,2021,13,73562,5659,42,719,55
K/W,2022,13,71900,5531,40,752,58
K/W,2023,13,69700,5362,38,787,61
L,2019,16,66700,4294,76,618,40
L,2020,16,70100,4519,72,650,42
L,2021,16,74078,4779,68,685,44
L,2022,16,72500,4677,65,716,46
L,2023,16,70400,4543,61,749,48
M/E,2019,14,36600,2614,61,406,29
M/E,2020,14,38500,2750,57,427,31
M/E,2021,14,40839,2917,54,450,32
M/E,2022,14,40000,2857,52,470,34
M/E,2023,14,38800,2771,49,492,35
M/W,2019,8,30100,4013,46,346,46
M/W,2020,8,31700,4227,43,364,49
M/W,2021,8,33683,4491,40,384,51
M/W,2022,8,33000,4400,38,401,53
M/W,2023,8,32000,4267,36,419,56
N,2019,12,41000,3567,35,373,32
N,2020,12,43200,3760,32,392,34
N,2021,12,45777,3981,29,414,36
N,2022,12,44900,3908,27,433,38
N,2023,12,43600,3793,26,453,39
P/N,2019,17,52800,3106,65,662,39
P/N,2020,17,55500,3265,61,697,41
P/N,2021,17,58805,3459,58,734,43
P/N,2022,17,57600,3388,55,768,45
P/N,2023,17,55900,3288,52,803,47
P/S,2019,9,33400,3933,51,228,27
P/S,2020,9,35100,4133,48,240,27
P/S,2021,9,37219,4379,45,253,30
P/S,2022,9,36500,4300,43,264,31
P/S,2023,9,35400,4167,41,276,33
R/C,2019,10,40200,4020,58,467,47
R/C,2020,10,42300,4230,54,491,49
R/C,2021,10,44819,4482,51,518,52
R/C,2022,10,43900,4390,48,541,54
R/C,2023,10,42600,4260,46,566,57
R/N,2019,8,18600,2475,53,325,43
R/N,2020,8,19500,2600,50,342,46
R/N,2021,8,20707,2761,47,361,48
R/N,2022,8,20300,2700,45,377,50
R/N,2023,8,19700,2625,43,394,53
R/S,2019,12,40900,3383,47,617,51
R/S,2020,12,43000,3558,44,650,54
R/S,2021,12,45521,3762,41,686,57
R/S,2022,12,44700,3700,39,717,59
R/S,2023,12,43400,3592,37,750,62
S,2019,14,35800,2557,63,327,23
S,2020,14,37600,2686,60,344,25
S,2021,14,39837,2951,56,363,27
S,2022,14,39100,2893,53,379,28
S,2023,14,38000,2786,50,397,28
T,2019,6,19500,3250,58,168,28
T,2020,6,20400,3400,55,176,29
T,2021,6,21683,3614,52,186,31
T,2022,6,21200,3533,50,195,32
T,2023,6,20600,3433,48,204,34
